,Unnamed: 0,Name,Link,Organization,Toll Free Number,Phone Number,Emails,Level of Study,Award Type,Purpose,Focus,Qualifications,Funds,Duration,Number of Awards,To Apply,Deadline,Contact,For more information,Criteria
0,0, A-2 TOP Youth Membership Scholarship,http://www.luso-american.org/laef, Luso-American Education Foundation 7080 Donlon Way Ste. 200 Dublin CA 94568, 877-525-5876, (925)828-3883, admin@luso-american.org, Bachelor's Degree, Scholarship, To support youth members pursuing undergraduate degrees., General studies/Field of study not specified., Applicant must be a graduating high school senior and a member and policy holder in good standing for a minimum of 3 years; must be enrolled to begin classes at a community college trade school or four-year college or university; must have a minimum 3.5 GPA; must have served as a Luso-American Fraternal Youth Officer or had significant involvement in a Luso-American Youth Council; must be a member of a West Coast Luso Council., $1000 $4000, Annual., 1., Applicant must submit a completed application form along with: transcripts and proof of GPA; one letter of recommendation from a personal acquaintance teacher or youth director; and recent wallet-sized photo. All materials should be submitted via mail or email., March 1., Email: education@luso-american.org; URL: www.luso-american.org/scholarship-grant-information., http://www.luso-american.org/laef,
1,1, A. Lucchetti Martino Scholarship,http://www.niaf.org, National Italian American Foundation 1860 19th St. NW Washington DC 20009,, (202)387-0600, information@niaf.org, Bachelor's Degree, Scholarship, To financially support the education of Italian American students., International affairs and relations., Applicant must be an outstanding Italian American undergraduate student who is majoring in International Relations; must be enrolled in a US accredited institution of higher education on a full time basis for the fall semester; must be a United States Citizen or permanent resident alien; must have a GPA of 3.5 (or the equivalent) or higher; must have an active NIAF membership., $2500 $12000, Annual.,, Application details are available online at www.niaf.org/programs/scholarships/., March 1.,, http://www.niaf.org, Selection will be maybe by the selection committee.
2,2, ABFSE National Scholarship Program,http://www.abfse.org, American Board of Funeral Service Education c/o Robert C. Smith III Executive Director 992 Mantua Pk Ste. 108 Woodbury Heights NJ 08097,, (816)233-3747, exdir@abfse.org, Bachelor's Degree Graduate Degree, Scholarship, To provide financial awards to students enrolled in funeral service or mortuary science programs to assist them in obtaining their professional education., Funeral services; Mortuary science., Applicants must have at least completed one semester (or quarter) of study in a funeral service or mortuary science education accredited by the American Board of Funeral Service Education; must have one term or semester remaining in a program which will commence after the award date in order to be considered for a full award; must be a citizen of the United States., $1500 $2500, Annual.,, Applicants must apply online; must submit the email confirmation tax forms letter of recommendation enrollment verification Federal Tax Form 1040 an essay (1-2 pages; double-spaced) addressing their decision and choice to pursue a funeral service education; and transcript of records to ABFSE Scholarship Committee., March 1; September 1., E-mail: scholarships@abfse.org; URL: www.abfse.org/html/scholarships.html., http://www.abfse.org, Selection of scholarship recipients is competitive; swards are made by the Scholarship Committee of ABFSE.
3,3, AFT Robert G. Porter Scholars Program for High School Students,http://www.aft.org, American Federation of Teachers 555 New Jersey Ave. NW Washington DC 20001, 800-238-1133, (202)879-4400, aftplus@aft.org membership@aft.org servicedesk@aft.org, Bachelor's Degree, Scholarship, To support graduating high school senior students who show outstanding service to their community and an understanding of the role unions can play to create a more just society., General studies/Field of study not specified., Applicants must be graduating high school seniors who are dependents of AFT members; must have at least one parent or legal guardian who is an AFT member in good standing for at least one year; must be pursuing post-secondary education. Children or legal dependents of AFT national state or local union staff are not eligible for this scholarship opportunity., $2000 $8000, Annual., 4., Application form and details are available online at www.aft.org/member-benefits/scholarships/robe rt-g-porter-scholars-program., March 31., E-mail: PorterScholars@aft.org., http://www.aft.org, Selection will be based on the academic achievement commitment to community services and school-related activities demonstration of leadership work experience recommendations special talents and skills an essay and a commitment to advancing the interests of working people and building unions.
4,4, Agnes E. Vaghi Scholarship,http://www.niaf.org, National Italian American Foundation 1860 19th St. NW Washington DC 20009,, (202)387-0600, information@niaf.org, Bachelor's Degree, Scholarship, To support a female Italian American undergraduate student majoring in Italian English literature or journalism., English language and literature; Italian studies; Journalism; Literature., Applicants must be an outstanding female Italian American undergraduate student majoring in Italian English literature or journalism; must be enrolled in a US accredited institution of higher education on a full time basis for the fall semester; must be a United States Citizen or permanent resident alien; must have a GPA of 3.5 (or the equivalent) or higher; must have an active NIAF membership., $2500 $12000, Annual.,, Application details are available online at www.niaf.org/programs/scholarships/., March 1.,, http://www.niaf.org,
5,5, AHEPA Educational Foundation (AEF) Scholarships,http://ahepa.org/ahepa, American Hellenic Educational Progressive Association 1909 Q St. NW Ste. 500 Washington DC 20009-1050,, (202)232-6300, ahepa@ahepa.org info@ahepa.org, Bachelor's Degree Graduate Degree, Scholarship,, General studies/Field of study not specified., Applicants must be an active member of the AHEPA Family; applicant is of Hellenic descent and or Phil-Hellene; the son or daughter of a member in good standing of AHEPA the Daughters of Penelope Sons of Pericles or the Maids of Athena; must be high school graduate or a high school senior planning to attend full time an Accredited College or University During the current academic year; must be college student currently attending an Accredited College or University and will continue to attend full time During the current academic year; must be College or University graduate planning to attend full time a graduate or professional degree program During the current academic year; Applicants must maintain a minimum 3.0 GPA., $2000, Annual.,, Applicant must complete the application form available on the website and submit with the following: Academic Transcript (Must be a 4.0 scale); Two letters of recommendation; must be from the applicant's teachers counselors advisors professors pastor; Photo: One wallet size non-returnable photo passport size; Financial need documentation; must submit SAT and/or ACT., March 31., Email: admin@ahepa.org; URL: ahepa.org/education/., http://ahepa.org/ahepa, Selection is based on scholastic achievement and financial need.
6,6, Airgas - Terry Jarvis Memorial Scholarship,http://www.aws.org/home, American Welding Society 8669 NW 36 St. No. 130 Miami FL 33166-6672, 800-443-9353, (305)443-9353, accreditation@aws.org certification@aws.org corporate@aws.org customercare@aws.org foundation@aws.org mediasales@aws.org membership@aws.org sense@aws.org standards@aws.org, Bachelor's Degree, Scholarship, To provide financial assistance to those individuals interested in pursuing a career in welding engineering., Welding., Applicants must be U.S. citizens who are full-time undergraduate students pursuing a minimum four-year degree in a welding or welding related program at an accredited university; they must be at least 18 years of age be enrolled full-time and have at least a 2.8 overall grade point average with a 3.0 grade point average in engineering courses; must also plan to attend an institution located within the United States or Canada., $2500, Annual., 1., Applicants must submit an application form and a high school diploma., March 1., AWS Foundation Inc. 8669 NW 36 St. Ste. 130 Miami FL 33166-6672; Phone: 800-443-9353., http://www.aws.org/home, Recipients are selected based on need. Priority will be given to those individuals who demonstrate an interest in pursuing a career with an industrial gas or welding equipment distributor prior to work experience clubs organizations or extracurricular activities. For individuals residing or attending schools in the states of Alabama Georgia or Florida are also given preference.
7,7, AIST Ohio Valley Member Chapter Scholarships,http://www.aist.org, Association for Iron and Steel Technology 186 Thorn Hill Rd. Warrendale PA 15086-7528,, (724)814-3000, memberservices@aist.org, Bachelor's Degree, Scholarship, To support students who are pursuing an education in engineering metallurgy physical science computer technology or an engineering technology field., Biology; Chemistry; Computer and information sciences; Engineering Electrical; Engineering Mechanical; Engineering Metallurgical; Microbiology; Physical sciences., Applicant must be the child (including step-children adopted children or wards) of a member in good standing of the Ohio Valley Chapter of the AIST or a Student member in good standing; must be accepted into planning to attend or currently enrolled in an eligible full-time curriculum at an accredited university or college in an education in engineering metallurgy physical science computer technology or engineering technology field., $2000, Annual., Up to 2., Applicants must submit an online application form together with the following materials: a resume; a recommendation/evaluation from a counselor and teacher or professor; copy of SAT/ACT scores; copy of transcripts; an essay (maximum of 2 pages) with either one of the topics: purpose in going to college; beneficial experience during the last two summers; most significant experiences and effect on future plans; accomplishments providing the greatest satisfaction; reasons why they should be chosen as the recipient of the award., March 31., Mark E. Shircliff; American Roller Bearing Company; E-mail: mshircliff@amroll.com; Phone: 412-952-2007; URL: www.aist.org/student s-faculty/scholarships/local-member-chapter-scholarships/ohio-valley- chapter-scholarship/., http://www.aist.org, Selection will be based on overall academic performance especially achievement in mathematics and science; extra-curricular activities and the applicant's essay.
8,8, Albert Flegenheimer Memorial Scholarship,http://www.michigansugar.com, Michigan Sugar Co. 2600 S Euclid Ave. Bay City MI 48706,, (989)686-0161,, Bachelor's Degree, Scholarship, To provide academic support to high school seniors who have completed a documented Youth Sugarbeet Project., General studies/Field of study not specified., Applicants must be residents of a county where sugar beets are grown; must be high school graduating seniors; must have participated in the Michigan Sugar Youth Sugar beet Program at one time and have completed a Sugar beet Project., $2500, Annual., 1., Applicants must submit a completed application form available at the Michigan Sugar Company web site along with three letters of reference., March 31., Email: scholarships@MichiganSugar.com., http://www.michigansugar.com, Applicants are selected based on the committee's review of the application materials.
9,9, Alcoa Scholarship,http://www.gaa.org/about/gravure-education-endowment, Gravure Education Foundation PO Box 25617 Rochester NY 14625,, (201)523-6042, gaa@gaa.org info@gaa.org, Bachelor's Degree Graduate Degree, Scholarship, To identify and cultivate the next generation of talented gravure operators., Printing trades and industries; Publishing., Applicants must be undergraduate or graduate students enrolled in a full-time basis in one of the GEF designated learning resource centers; must have GPA of 3.0 or greater on a 4.0 scale., $1500, Annual., 1., Application details are available online., March 1., URL: gaa.org/awards/gravure-endowment-fund-scholarships/., http://www.gaa.org/about/gravure-education-endowment, Selection will be based on demonstrated leadership and academic accomplishments.
